epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5536.61,0.72019,0.30832,0.91148,0.99687,1,0.99499,0.83792,0.71147,0.25357,0.8945,0.000759318,0.000759318,0.000759318
57,5674.7,0.73052,0.31217,0.91376,0.99988,1,0.995,0.83979,0.70814,0.24997,0.89481,0.000742815,0.000742815,0.000742815
58,5815.54,0.71771,0.30838,0.90994,0.99987,1,0.995,0.8397,0.71027,0.24745,0.89423,0.000726312,0.000726312,0.000726312
59,5954.41,0.71625,0.30679,0.91009,0.99914,1,0.995,0.84009,0.70665,0.24862,0.89381,0.000709809,0.000709809,0.000709809
60,6095.58,0.71845,0.30612,0.91151,0.99966,1,0.995,0.84104,0.70772,0.24849,0.89361,0.000693305,0.000693305,0.000693305
61,6235.5,0.71498,0.30307,0.91173,0.99906,1,0.99498,0.84167,0.71151,0.24805,0.89424,0.000676802,0.000676802,0.000676802
62,6376.01,0.72125,0.30529,0.91414,0.99891,0.99917,0.995,0.83868,0.7038,0.24552,0.89281,0.000660299,0.000660299,0.000660299
63,6516.48,0.71123,0.30383,0.91237,0.99901,1,0.995,0.84278,0.70626,0.24731,0.89332,0.000643795,0.000643795,0.000643795
64,6653.79,0.71731,0.30461,0.91339,0.99895,1,0.995,0.84164,0.70469,0.2467,0.89443,0.000627292,0.000627292,0.000627292
65,6791.97,0.71072,0.30191,0.9126,0.99906,0.99943,0.99499,0.83916,0.70311,0.24358,0.89293,0.000610789,0.000610789,0.000610789
66,6929.23,0.70979,0.29874,0.91146,0.99947,0.99933,0.995,0.84252,0.70483,0.24848,0.89561,0.000594286,0.000594286,0.000594286
67,7068.02,0.71026,0.29978,0.91172,0.99877,1,0.995,0.84099,0.70388,0.24577,0.89596,0.000577782,0.000577782,0.000577782
68,7206.81,0.70411,0.2976,0.90888,0.99714,1,0.995,0.84107,0.70008,0.24515,0.89397,0.000561279,0.000561279,0.000561279
69,7346.96,0.71489,0.29794,0.90988,0.99887,1,0.995,0.84297,0.70407,0.2421,0.89386,0.000544776,0.000544776,0.000544776
70,7485.63,0.71012,0.29588,0.91073,0.99935,1,0.995,0.84149,0.70605,0.24516,0.89321,0.000528272,0.000528272,0.000528272
71,7624.87,0.7057,0.29251,0.90943,0.99898,1,0.995,0.84452,0.70455,0.24298,0.89329,0.000511769,0.000511769,0.000511769
72,7764.65,0.70441,0.29392,0.90825,0.99911,1,0.995,0.84467,0.70176,0.24235,0.89315,0.000495266,0.000495266,0.000495266
73,7902.24,0.70076,0.2896,0.90527,0.99977,0.99991,0.995,0.84123,0.70234,0.24121,0.89309,0.000478762,0.000478762,0.000478762
74,8038.45,0.70528,0.29079,0.90532,0.99906,1,0.995,0.84544,0.70496,0.24406,0.89274,0.000462259,0.000462259,0.000462259
75,8177.65,0.69518,0.28717,0.90722,0.99985,1,0.995,0.84458,0.70058,0.23844,0.89166,0.000445756,0.000445756,0.000445756
76,8314.9,0.69821,0.28681,0.90653,0.99972,0.99995,0.995,0.84214,0.70308,0.23941,0.892,0.000429253,0.000429253,0.000429253
77,8451.51,0.69667,0.28539,0.90929,0.9996,0.99991,0.995,0.84504,0.70003,0.23688,0.89057,0.000412749,0.000412749,0.000412749
78,8589.51,0.69588,0.28497,0.90697,0.99956,1,0.995,0.84576,0.70104,0.23927,0.89259,0.000396246,0.000396246,0.000396246
79,8728.77,0.68751,0.28579,0.90378,0.99849,1,0.995,0.84324,0.70215,0.23926,0.89171,0.000379743,0.000379743,0.000379743
80,8868.41,0.69848,0.28459,0.9061,0.99984,1,0.995,0.84452,0.69773,0.23682,0.89063,0.000363239,0.000363239,0.000363239
81,9007.29,0.69198,0.28348,0.90529,0.99989,1,0.995,0.84318,0.69945,0.23582,0.8904,0.000346736,0.000346736,0.000346736
82,9147.01,0.69558,0.28225,0.90403,0.99979,1,0.995,0.84417,0.70007,0.23606,0.89045,0.000330233,0.000330233,0.000330233
83,9285.94,0.68604,0.27791,0.90741,0.99953,1,0.995,0.84414,0.69926,0.23539,0.8904,0.000313729,0.000313729,0.000313729
84,9425.99,0.68101,0.2771,0.90362,0.99973,1,0.995,0.84373,0.69917,0.23613,0.89069,0.000297226,0.000297226,0.000297226
85,9565.14,0.69275,0.28135,0.90761,0.99972,0.99987,0.995,0.84143,0.69881,0.23501,0.89101,0.000280723,0.000280723,0.000280723
86,9702.88,0.6816,0.2745,0.9053,0.99947,0.99917,0.995,0.84197,0.69992,0.23432,0.89179,0.00026422,0.00026422,0.00026422
87,9841.63,0.68695,0.2756,0.90348,0.99878,0.99992,0.995,0.84434,0.69973,0.23379,0.89058,0.000247716,0.000247716,0.000247716
88,9973.04,0.67026,0.27284,0.89882,0.99889,1,0.995,0.84215,0.7005,0.23525,0.89161,0.000231213,0.000231213,0.000231213
89,10112.1,0.6803,0.27348,0.90589,0.9999,0.99994,0.995,0.84205,0.69831,0.23473,0.89082,0.00021471,0.00021471,0.00021471
90,10250.9,0.67955,0.27428,0.90271,0.99897,1,0.995,0.84334,0.69808,0.23359,0.89048,0.000198206,0.000198206,0.000198206
91,10383.4,0.66957,0.24629,0.89881,0.99879,1,0.995,0.84087,0.6982,0.23455,0.89079,0.000181703,0.000181703,0.000181703
92,10515.8,0.66132,0.24245,0.89624,0.99893,1,0.995,0.84248,0.70083,0.2344,0.89034,0.0001652,0.0001652,0.0001652
93,10648,0.65602,0.24024,0.89284,0.999,1,0.995,0.84495,0.69878,0.23444,0.89015,0.000148696,0.000148696,0.000148696
94,10780.5,0.65605,0.24147,0.89356,0.99899,1,0.995,0.844,0.70133,0.2337,0.89123,0.000132193,0.000132193,0.000132193
95,10913.2,0.65676,0.23936,0.89485,0.99897,1,0.995,0.84209,0.7008,0.23273,0.89116,0.00011569,0.00011569,0.00011569
96,11046.3,0.65268,0.23625,0.89065,0.99908,1,0.995,0.84535,0.69895,0.23247,0.89086,9.91865e-05,9.91865e-05,9.91865e-05
97,11178.3,0.65014,0.23535,0.89103,0.99927,1,0.995,0.84404,0.69955,0.23273,0.89094,8.26832e-05,8.26832e-05,8.26832e-05
98,11311.1,0.6502,0.23519,0.89301,0.99897,1,0.995,0.84539,0.69952,0.23414,0.89062,6.61799e-05,6.61799e-05,6.61799e-05
99,11399.9,0.6498,0.23465,0.89214,0.99894,1,0.995,0.84555,0.70015,0.23406,0.89064,4.96766e-05,4.96766e-05,4.96766e-05
100,11477.3,0.64626,0.2311,0.89084,0.99896,1,0.995,0.84609,0.69959,0.23327,0.89065,3.31733e-05,3.31733e-05,3.31733e-05
